username,user_handle,date,retweets,favorites,text,geological_location,mentions,hashtags,tweet_id,permalink,,,,,,
KMAKita Maluku,KMAKitaMaluku,4/3/2019 13:52,0,0,Kuatkan rasa optimisme dalam diri terutama dalam membangun bangsa @ jokowi @ KHMarufAmin_ # RabuPutihJokowiMenangpic.twitter.com/W0No1rznx5,,@ @,#,1.11333E+18,https://twitter.com/KMAKitaMaluku/status/1113333509488238592,,,,,,
Roni,Roni92962227,4/3/2019 13:52,0,0,Rakyat butuh Jokowi rakyat butuh pemimpin yg merakyat spt jokowi # 01untuk17April,,,#,1.11333E+18,https://twitter.com/Roni92962227/status/1113333489598849025,,,,,,
Bibi Puriosa,BPuriosa,4/3/2019 13:52,0,0,"Untuk adik-adik and sodara-sodaraku yang mau memasuki dunia kerja, jangan panik krn pak Jokowi sudah menyiapkan kartu pra kerja ya.. # JokowiLagi",,,#,1.11333E+18,https://twitter.com/BPuriosa/status/1113333482346778625,,,,,,
Naklingsir,naklingsir,4/3/2019 13:52,0,0,"14 hari menuju Pilpres, jangan lupa Coblos yang baju putih @ jokowi # RabuPutihJokowiMenangpic.twitter.com/fWSq9lGgCK",,@,#,1.11333E+18,https://twitter.com/naklingsir/status/1113333430291271681,,,,,,
ogohogoh33,ogohogoh33,4/3/2019 13:52,0,0,Memilih Jokowi adalah jihad melawan gerombolan HTI-Wahabi radikal pic.twitter.com/HXlzOBYT1h,,,,1.11333E+18,https://twitter.com/ogohogoh33/status/1113333333868437505,,,,,,
🇲🇨💐Sandria Irina Sandjoyo 💐🇲🇨,Sandria_Irina,4/3/2019 13:42,3,6,"Prabowo Boleh kalah Tipis Hanya selisih 10,4% Dari Jokowi Di 2014 !! Tapi 17 April 2019 nanti ... Kita Harus menang di Sumatra Utara Guys.... utk Perubahan yg Jauh Lebih Baik .... Retweet dng Has-tag !! # PrabowoMenyapaSumut # PrabowoMenyapaSumutpic.twitter.com/8C0Wvv5twW",,,# #,1.11333E+18,https://twitter.com/Sandria_Irina/status/1113330910340861953,,,,,,
Laila_syahdu,LWidyawani,4/3/2019 13:06,4,3,insyaallah Pak Jokowi menang. # RabuPutihJokowiMenangpic.twitter.com/4Msm05Sjd3,,,#,1.11332E+18,https://twitter.com/LWidyawani/status/1113321915035181056,,,,,,
Ridlwan ꦗꦺꦴꦏꦺꦴꦮꦶ,ridlwandjogja,4/3/2019 12:29,55,58,Doa mas @ Chilli_Pari untuk pak @ jokowi # RabuPutihJokowiMenangpic.twitter.com/qgjvPdCDpr,,@ @,#,1.11331E+18,https://twitter.com/ridlwandjogja/status/1113312492720074752,,,,,,
Neng Husna,NengHoesna,4/3/2019 12:25,14,18,Jangan GOLPUT! 17 April 2019 Pilih Jokowi Amin # RabuPutihJokowiMenangpic.twitter.com/3ZGZqS9gTs,,,#,1.11331E+18,https://twitter.com/NengHoesna/status/1113311562150735872,,,,,,
Ridwan,Ridwan12122240,4/3/2019 12:00,4,16,kenaren2 di kemanain itu anak yatim pak..? kenapa baru sekarang di omongin.. nih lihatpic.twitter.com/ZsuWtVIw2W,,,,1.11331E+18,https://twitter.com/Ridwan12122240/status/1113305128793018368,,,,,,
🇲🇨 #01IndonesiaMaju😀👍,BadjaNuswantara,4/3/2019 11:51,136,275,"Kisah nyata temen sy kader PKS. Tiap hari jelek2in Jokowi. Nonton debat ke 4, dia terpukul saat Bowo curhat : Ibu sy", lingkgan sy nasrani," masak sy dituduh bela khilafah. Sungguh kejam."" Pasca debat dia ogah dkg bowo. Dapet hidayah? # KapalOlengJendral""",,,#,1.1133E+18,https://twitter.com/BadjaNuswantara/status/1113302923381854208,,,,
Mega Simarmata,MegaSimarmata,4/3/2019 11:22,60,145,Dukung Prabowo atau Jokowi? Ibu ini menjawab: PRABOWO !!! # 2019GantiPresiden # 2019PrabowoSandiMenangpic.twitter.com/VbuIgACylP,,,# #,1.1133E+18,https://twitter.com/MegaSimarmata/status/1113295743769407488,,,,,,
